Job_Description,JobType
Frontend Developer needed for a growing startup. Entry-level applicants welcome. Training provided.,Jobs – IT
"We are expanding our engineering team and need a Machine Learning Engineer. Daily tasks: automate deployment pipelines, provide IT support to end users, troubleshoot and resolve network issues. Stack: AWS, PostgreSQL.",Jobs – IT
Junior Android Developer position available. Ideal for someone looking to start a career in technology.,Jobs – IT
"Hiring a Cloud Engineer for our technology team. Opportunity to learn, grow and work on real-world projects.",Jobs – IT
"We need a Frontend Developer to support our IT infrastructure. Tasks include configure and manage firewalls, troubleshoot and resolve network issues, and ensuring uptime of .NET systems. CompTIA A+ preferred.",Jobs – IT
"We need a Backend Developer to support our IT infrastructure. Tasks include provide IT support to end users, write clean and maintainable code, and ensuring uptime of Flutter systems. AWS Certified Solutions Architect preferred.",Jobs – IT
IT Support Specialist needed for a growing startup. Entry-level applicants welcome. Training provided.,Jobs – IT
"Database Administrator needed for a fast-growing tech company. Must have strong knowledge of React Native, MongoDB, and cybersecurity best practices. You will be responsible for develop internal tools and dashboards, monitor system performance and uptime, and monitor system performance and uptime.",Jobs – IT
"Cybersecurity Specialist role: 3 years of experience with networking protocols required. Responsibilities include develop internal tools and dashboards, monitor system performance and uptime. Knowledge of Active Directory and containerization is a strong plus.",Jobs – IT
Cybersecurity Analyst needed for a growing startup. Entry-level applicants welcome. Training provided.,Jobs – IT
Join our data team as a Mobile App Developer. We need someone experienced in Kubernetes to handle collaborate with cross-functional teams and develop internal tools and dashboards. Experience with cloud services and load balancers is required.,Jobs – IT
"Systems Administrator needed for a fast-growing tech company. Must have strong knowledge of iOS, TCP/IP, and containerization. You will be responsible for implement security best practices, provide IT support to end users, and collaborate with cross-functional teams.",Jobs – IT
"Nexus Technologies is looking for a IT Support Specialist. Key responsibilities: conduct code reviews, maintain server infrastructure. Required skills: firewalls, REST APIs, Agile methodology. Competitive salary and benefits.",Jobs – IT
"Hiring a Python Developer for our technology team. Opportunity to learn, grow and work on real-world projects.",Jobs – IT
Cybersecurity Specialist needed for a growing startup. Entry-level applicants welcome. Training provided.,Jobs – IT
Remote Software Engineer position available. Must have hands-on experience with React and TCP/IP. You will automate deployment pipelines and work with the data team.,Jobs – IT
Infrastructure Engineer needed for a growing startup. Entry-level applicants welcome. Training provided.,Jobs – IT
"We are expanding our security team and need a Cybersecurity Analyst. Daily tasks: write clean and maintainable code, troubleshoot and resolve network issues, write clean and maintainable code. Stack: Azure, Windows Server.",Jobs – IT
"Seeking a Cybersecurity Specialist to design, build and maintain AWS systems. You will work closely with security teams on develop and deploy web applications. Must be proficient in TCP/IP. Remote-friendly position.",Jobs – IT
"Looking for a skilled Infrastructure Engineer. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with Ansible and PostgreSQL required.",Jobs – IT
"We need a Python Developer to support our IT infrastructure. Tasks include maintain server infrastructure, write clean and maintainable code, and ensuring uptime of networking protocols systems. AWS Certified Solutions Architect preferred.",Jobs – IT
We are hiring a Mobile App Developer to join our platform team. The ideal candidate has 3 years of experience with Swift and PostgreSQL. Responsibilities include maintain server infrastructure and implement security best practices. AWS Certified Solutions Architect certification is a plus.,Jobs – IT
"Seeking a Full Stack Developer to design, build and maintain AWS systems. You will work closely with DevOps teams on manage cloud resources and costs. Must be proficient in TCP/IP. Remote-friendly position.",Jobs – IT
Junior Mobile App Developer position available. Ideal for someone looking to start a career in technology.,Jobs – IT
"InfraNet is looking for a Machine Learning Engineer. Key responsibilities: monitor system performance and uptime, maintain server infrastructure. Required skills: Java, cloud services, cybersecurity best practices. Competitive salary and benefits.",Jobs – IT
